"TOA5","CR3000_IP","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","OPSData"
"TIMESTAMP","RECORD","no_use","Curr_Sec_InSet","Curr_Sec_Sample","Valid_Sample_RMLogBins","LiveBin_1dC","LiveBin_2dC","LiveBin_3dC","LiveBin_4dC","LiveBin_5dC","LiveBin_6dC","LiveBin_7dC","LiveBin_8dC","LiveBin_9dC","LiveBin_10dC","LiveBin_11dC","LiveBin_12dC","LiveBin_13dC","LiveBin_14dC","LiveBin_15dC","LiveBin_16dC","LiveGreaterBin_16dC","LiveBin_1dN","LiveBin_2dN","LiveBin_3dN","LiveBin_4dN","LiveBin_5dN","LiveBin_6dN","LiveBin_7dN","LiveBin_8dN","LiveBin_9dN","LiveBin_10dN","LiveBin_11dN","LiveBin_12dN","LiveBin_13dN","LiveBin_14dN","LiveBin_15dN","LiveBin_16dN","LiveGreaterBin_16dN","LiveBin_1dNdD","LiveBin_2dNdD","LiveBin_3dNdD","LiveBin_4dNdD","LiveBin_5dNdD","LiveBin_6dNdD","LiveBin_7dNdD","LiveBin_8dNdD","LiveBin_9dNdD","LiveBin_10dNdD","LiveBin_11dNdD","LiveBin_12dNdD","LiveBin_13dNdD","LiveBin_14dNdD","LiveBin_15dNdD","LiveBin_16dNdD","LiveGreaterBin_16dNdD","LiveBin_1dNdlogD","LiveBin_2dNdlogD","LiveBin_3dNdlogD","LiveBin_4dNdlogD","LiveBin_5dNdlogD","LiveBin_6dNdlogD","LiveBin_7dNdlogD","LiveBin_8dNdlogD","LiveBin_9dNdlogD","LiveBin_10dNdlogD","LiveBin_11dNdlogD","LiveBin_12dNdlogD","LiveBin_13dNdlogD","LiveBin_14dNdlogD","LiveBin_15dNdlogD","LiveBin_16dNdlogD","LiveGreaterBin_16dNdlogD","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","LiveGreaterBin_16dM","LiveBin_1dMdD","LiveBin_2dMdD","LiveBin_3dMdD","LiveBin_4dMdD","LiveBin_5dMdD","LiveBin_6dMdD","LiveBin_7dMdD","LiveBin_8dMdD","LiveBin_9dMdD","LiveBin_10dMdD","LiveBin_11dMdD","LiveBin_12dMdD","LiveBin_13dMdD","LiveBin_14dMdD","LiveBin_15dMdD","LiveBin_16dMdD","LiveGreaterBin_16dMdD","LiveBin_1dMdlogD","LiveBin_2dMdlogD","LiveBin_3dMdlogD","LiveBin_4dMdlogD","LiveBin_5dMdlogD","LiveBin_6dMdlogD","LiveBin_7dMdlogD","LiveBin_8dMdlogD","LiveBin_9dMdlogD","LiveBin_10dMdlogD","LiveBin_11dMdlogD","LiveBin_12dMdlogD","LiveBin_13dMdlogD"
"TS","RN","#","sec","sec","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-29 09:39:28",5909,"NAN",418,0,1,905,202,56,14,9,6,3,1,3,7,1,1,0,0,0,0,0,54.3,12.12,3.36,0.84,0.54,0.36,0.18,0.06,0.18,0.42,0.06,0.06,0,0,0,0,0,733.784,133.187,32,7,4.909,1.8,0.6,0.15,0.514,0.933,0.071,0.073,0,0,0,0,0,567.1,128.144,38,10.124,8.406,3.715,1.58,0.515,2.214,4.873,0.475,0.63,0,0,0,0,0,1.101,0.474,0.246,0.111,0.118,0.139,0.146,0.108,0.627,2.615,0.8,1.68,0,0,0,0,0,14.882,5.209,2.346,0.925,1.069,0.696,0.486,0.27,1.79,5.81,0.949,2.051,0,0,0,0,0,11.501,5.012,2.786,1.337,1.83,1.435,1.279,0.926,7.708,30.338,6.337,17.651,0
"2019-10-29 09:39:29",5910,"NAN",419,0,1,1008,204,48,23,12,8,5,5,8,2,3,0,1,0,0,0,0,60.48,12.24,2.88,1.38,0.72,0.48,0.3,0.3,0.48,0.12,0.18,0,0.06,0,0,0,0,817.297,134.506,27.429,11.5,6.545,2.4,1,0.75,1.371,0.267,0.214,0,0.059,0,0,0,0,631.643,129.412,32.571,16.632,11.208,4.953,2.633,2.575,5.904,1.392,1.426,0,0.63,0,0,0,0,1.227,0.479,0.211,0.182,0.157,0.185,0.243,0.54,1.671,0.747,2.399,0,3.242,0,0,0,0,16.576,5.26,2.011,1.519,1.425,0.927,0.81,1.349,4.775,1.66,2.846,0,3.178,0,0,0,0,12.81,5.061,2.388,2.197,2.44,1.914,2.132,4.631,20.554,8.668,19.01,0,34.056
"2019-10-29 09:39:30",5911,"NAN",420,0,1,960,209,31,18,11,10,7,6,5,3,4,1,1,0,0,0,0,57.6,12.54,1.86,1.08,0.66,0.6,0.42,0.36,0.3,0.18,0.24,0.06,0.06,0,0,0,0,778.378,137.802,17.714,9,6,3,1.4,0.9,0.857,0.4,0.285,0.073,0.059,0,0,0,0,601.564,132.584,21.036,13.016,10.274,6.191,3.686,3.09,3.69,2.089,1.902,0.63,0.63,0,0,0,0,1.168,0.49,0.136,0.143,0.144,0.232,0.34,0.647,1.044,1.121,3.199,1.68,3.242,0,0,0,0,15.786,5.389,1.299,1.189,1.306,1.159,1.134,1.619,2.984,2.49,3.794,2.051,3.178,0,0,0,0,12.2,5.185,1.542,1.72,2.236,2.392,2.985,5.558,12.846,13.002,25.347,17.651,34.056
"2019-10-29 09:39:31",5912,"NAN",421,0,1,918,203,52,14,7,6,1,3,10,3,3,1,0,1,0,0,0,55.08,12.18,3.12,0.84,0.42,0.36,0.06,0.18,0.6,0.18,0.18,0.06,0,0.06,0,0,0,744.324,133.846,29.714,7,3.818,1.8,0.2,0.45,1.714,0.4,0.214,0.073,0,0.047,0,0,0,575.246,128.778,35.285,10.124,6.538,3.715,0.527,1.545,7.38,2.089,1.426,0.63,0,0.631,0,0,0,1.117,0.476,0.229,0.111,0.091,0.139,0.049,0.324,2.089,1.121,2.399,1.68,0,6.256,0,0,0,15.096,5.235,2.178,0.925,0.831,0.696,0.162,0.809,5.968,2.49,2.846,2.051,0,4.93,0,0,0,11.667,5.036,2.587,1.337,1.423,1.435,0.426,2.779,25.692,13.002,19.01,17.651,0
"2019-10-29 09:39:32",5913,"NAN",422,0,1,901,173,50,9,10,14,4,8,9,5,1,0,0,0,0,0,0,54.06,10.38,3,0.54,0.6,0.84,0.24,0.48,0.54,0.3,0.06,0,0,0,0,0,0,730.541,114.066,28.571,4.5,5.455,4.2,0.8,1.2,1.543,0.667,0.071,0,0,0,0,0,0,564.593,109.747,33.928,6.508,9.34,8.668,2.106,4.12,6.642,3.481,0.475,0,0,0,0,0,0,1.096,0.406,0.22,0.071,0.131,0.325,0.194,0.863,1.88,1.868,0.8,0,0,0,0,0,0,14.816,4.461,2.095,0.595,1.187,1.623,0.648,2.158,5.371,4.15,0.949,0,0,0,0,0,0,11.451,4.292,2.487,0.86,2.033,3.349,1.706,7.41,23.123,21.67,6.337,0,0
"2019-10-29 09:39:33",5914,"NAN",423,0,1,857,192,49,14,10,15,8,2,5,4,3,1,1,0,0,0,0,51.42,11.52,2.94,0.84,0.6,0.9,0.48,0.12,0.3,0.24,0.18,0.06,0.06,0,0,0,0,694.865,126.593,28,7,5.455,4.5,1.6,0.3,0.857,0.533,0.214,0.073,0.059,0,0,0,0,537.022,121.8,33.25,10.124,9.34,9.287,4.213,1.03,3.69,2.785,1.426,0.63,0.63,0,0,0,0,1.043,0.451,0.216,0.111,0.131,0.348,0.389,0.216,1.044,1.494,2.399,1.68,3.242,0,0,0,0,14.093,4.951,2.053,0.925,1.187,1.739,1.296,0.54,2.984,3.32,2.846,2.051,3.178,0,0,0,0,10.891,4.763,2.438,1.337,2.033,3.589,3.412,1.853,12.846,17.336,19.01,17.651,34.056
"2019-10-29 09:39:34",5915,"NAN",424,0,1,868,215,44,13,3,12,6,1,4,5,3,2,0,0,0,0,0,52.08,12.9,2.64,0.78,0.18,0.72,0.36,0.06,0.24,0.3,0.18,0.12,0,0,0,0,0,703.784,141.758,25.143,6.5,1.636,3.6,1.2,0.15,0.686,0.667,0.214,0.147,0,0,0,0,0,543.914,136.391,29.857,9.401,2.802,7.43,3.159,0.515,2.952,3.481,1.426,1.261,0,0,0,0,0,1.056,0.505,0.194,0.103,0.039,0.278,0.292,0.108,0.836,1.868,2.399,3.36,0,0,0,0,0,14.274,5.544,1.843,0.859,0.356,1.391,0.972,0.27,2.387,4.15,2.846,4.102,0,0,0,0,0,11.031,5.334,2.189,1.242,0.61,2.871,2.559,0.926,10.277,21.67,19.01,35.302,0
"2019-10-29 09:39:35",5916,"NAN",425,0,1,862,172,42,26,9,11,4,1,10,3,5,0,0,0,0,0,0,51.72,10.32,2.52,1.56,0.54,0.66,0.24,0.06,0.6,0.18,0.3,0,0,0,0,0,0,698.919,113.407,24,13,4.909,3.3,0.8,0.15,1.714,0.4,0.356,0,0,0,0,0,0,540.155,109.112,28.5,18.801,8.406,6.81,2.106,0.515,7.38,2.089,2.377,0,0,0,0,0,0,1.049,0.404,0.185,0.206,0.118,0.255,0.194,0.108,2.089,1.121,3.998,0,0,0,0,0,0,14.175,4.435,1.759,1.717,1.069,1.275,0.648,0.27,5.968,2.49,4.743,0,0,0,0,0,0,10.955,4.267,2.089,2.484,1.83,2.632,1.706,0.926,25.692,13.002,31.684,0,0
