"TOA5","CR3000_IP","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","slowdata"
"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"TS","RN","p/cm3","ug/m^3","ug/m^3","degC","kPa","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2019-10-24 17:12:00",50,15.2462,5.619266,0,25.11,83.3,12.45,27.08
"2019-10-24 17:13:00",51,-4.403157,5.5206,0.7765,25.44,83.3,12.43,27.09
"2019-10-24 17:14:00",52,-27.35476,5.794766,0.7765,24.94,83.2,12.44,27.09
"2019-10-24 17:15:00",53,-33.07906,5.502299,0,25,83.3,12.43,27.1
"2019-10-24 17:16:00",54,-34.01475,5.662567,0.7765,25.55,83.3,12.43,27.11
"2019-10-24 17:17:00",55,-30.16209,5.776033,0.7765,25.18,83.3,12.39,27.11
"2019-10-24 17:18:00",56,-42.05086,6.254633,0.7765,25.08,83.3,12.45,27.11
"2019-10-24 17:19:00",57,9073.068,6.323333,1.553,23.92,83.3,12.41,27.12
"2019-10-24 17:20:00",58,20883.28,6.175467,1.553,21.89,83.3,12.43,27.12
"2019-10-24 17:21:00",59,37005.71,7.007633,0,20.88,83.2,12.43,27.14
"2019-10-24 17:22:00",60,36262.29,7.409667,1.553,21.1,83.2,12.42,27.15
"2019-10-24 17:23:00",61,37135.8,7.422566,0.7765,21.27,83.2,12.39,27.17
"2019-10-24 17:24:00",62,34195.27,7.594933,1.553,21.21,83.2,12.38,27.19
"2019-10-24 17:25:00",63,31290.51,7.595633,0,21.05,83.3,12.41,27.2
"2019-10-24 17:26:00",64,27603.37,7.082533,1.553,21,83.3,12.37,27.22
"2019-10-24 17:27:00",65,26517.81,7.280833,0,21.03,83.3,12.39,27.23
"2019-10-24 17:28:00",66,24660.9,6.4387,0,20.99,83.2,12.4,27.25
"2019-10-24 17:29:00",67,24701.98,6.814267,1.553033,21.09,83.2,12.35,27.24
"2019-10-24 17:30:00",68,25399.31,7.248066,3.106,20.81,83.2,12.36,27.23
"2019-10-24 17:31:00",69,19339.91,7.7349,1.553,22.27,83.2,12.34,27.21
"2019-10-24 17:32:00",70,2264.462,7.9336,0.7765,24.16,83.2,12.34,27.2
"2019-10-24 17:33:00",71,241.0751,7.280133,0,25.02,83.2,12.36,27.19
"2019-10-24 17:34:00",72,262.2657,6.0899,0,25.36,83.2,12.37,27.19
"2019-10-24 17:35:00",73,262.3753,6.9222,0.7765,25.38,83.2,12.32,27.2
"2019-10-24 17:36:00",74,206.4,8.231566,3.882533,25.54,83.2,12.39,27.21
"2019-10-24 17:37:00",75,1063.096,10.58547,0,25.37,83.2,12.4,27.22
"2019-10-24 17:38:00",76,310.4247,11.54947,0.7765,24.87,83.2,12,27.22
"2019-10-24 17:39:00",77,263.036,11.22847,0.7765,25.42,83.2,12.37,27.23
"2019-10-24 17:40:00",78,218.344,9.742566,0,25.28,83.2,12.39,27.23
"2019-10-24 17:41:00",79,234.3615,9.755099,1.553,25.66,83.2,12.36,27.24
"2019-10-24 17:42:00",80,233.3155,9.809,0.7765,25.46,83.2,12.38,27.24
"2019-10-24 17:43:00",81,261.0549,10.47443,0.7765,25.4,83.2,12.36,27.23
"2019-10-24 17:44:00",82,205.0788,10.41423,0.7765,25.2,83.2,12.34,27.23
"2019-10-24 17:45:00",83,170.5684,10.51917,1.553,24.77,83.2,12.38,27.23
"2019-10-24 17:46:00",84,179.2098,10.1277,0.7765,25.1,83.2,12.34,27.23
"2019-10-24 17:47:00",85,221.3711,15.43637,1.553,25.12,83.2,12.37,27.23
"2019-10-24 17:48:00",86,192.8043,15.55367,0,25.22,83.2,12.37,27.23
"2019-10-24 17:49:00",87,187.135,14.74353,0.7765,25.32,83.2,12.36,27.22
"2019-10-24 17:50:00",88,-698.7866,"NAN","NAN",25.28,83.2,12.37,27.21
"2019-10-29 10:30:00",89,-771.6345,0,0,4.99,81,12.55,12.26
"2019-10-29 10:31:00",90,-771.6309,"NAN","NAN",5.43,82.4,12.09,12.19
"2019-10-29 10:32:00",91,-692.2608,"NAN","NAN",5.684,83,12.19,12.13
"2019-10-29 10:33:00",92,-372.0964,0.3109,0,5.648,83.2,12.22,12.09
"2019-10-29 10:34:00",93,-366.6424,1.020067,2.3295,5.691,83.3,12.23,12.09
"2019-10-29 10:35:00",94,-365.0998,1.026633,0,6.556,83.3,12.23,12.09
"2019-10-29 10:36:00",95,-360.2532,1.0385,0,5.91,83.4,12.22,12.1
"2019-10-29 10:37:00",96,-361.2436,1.043667,0.7765,5.735,83.4,12.23,12.12
"2019-10-29 10:38:00",97,-356.9477,0.9985333,0,5.375,83.4,12.23,12.12
"2019-10-29 10:39:00",98,-353.4781,1.182333,0,5.146,83.4,12.22,12.12
"2019-10-29 12:07:00",246,5086.369,14.0837,1.553,9.99,83.3,12.08,18.85
"2019-10-29 12:08:00",247,7872.493,13.60923,0.7765,9.74,83.3,12.07,18.87
"2019-10-29 12:09:00",248,7411.479,14.0265,0,9.9,83.3,12.05,18.9
"2019-10-29 12:10:00",249,9394.746,14.6304,0,10.52,83.3,12.05,18.93
"2019-10-29 12:11:00",250,2072.204,14.33,0.7765,9.72,83.3,12,18.98
"2019-10-29 12:12:00",251,4375.414,14.64013,0.7765,9.71,83.3,12.04,19.02
"2019-10-29 12:13:00",252,52.58064,14.4749,2.3295,9.7,83.3,12.03,19.08
"2019-10-29 12:14:00",253,50.43334,14.51207,0.7765,10.49,83.3,12.05,19.13
"2019-10-29 12:15:00",254,6513.803,14.28943,1.553,10.73,83.3,12.03,19.19
"2019-10-29 12:16:00",255,"NAN",14.27773,3.106,10.54,"NAN","NAN",19.25
"2019-10-29 12:17:00",256,1549.617,14.46523,0,10.51,86.4,12.02,19.3
"2019-10-29 12:18:00",257,475.5358,14.32927,0.7765,10.46,84.3,12,19.36
"2019-10-29 12:19:00",258,3298.905,13.4366,0,9.84,83.7,12,19.41
"2019-10-29 12:20:00",259,205.641,13.7531,0,9.58,83.4,12.02,19.47
"2019-10-29 12:21:00",260,2814.937,14.45333,0.7765,9.77,83.3,11.97,19.52
"2019-10-29 12:22:00",261,10536.38,14.2078,0.7765,9.87,83.3,12,19.58
"2019-10-29 12:23:00",262,1508.194,14.5075,0,9.85,83.3,11.98,19.63
"2019-10-29 12:24:00",263,3663.098,14.62313,1.553,9.99,83.3,11.88,19.68
"2019-10-29 12:25:00",264,7522.87,14.44283,0,10.15,83.3,11.82,19.73
"2019-10-29 12:26:00",265,4114.601,13.60133,0,10.21,83.3,12,19.78
"2019-10-29 12:27:00",266,2112.608,14.20097,0,10.24,83.3,12.01,19.82
"2019-10-29 12:28:00",267,9712.722,13.88147,0,10.34,83.3,11.95,19.86
"2019-10-29 12:29:00",268,4120.737,13.5804,0,10.52,83.3,12.01,19.9
"2019-10-29 12:30:00",269,1869.621,13.25883,0,10.48,83.3,12,19.93
"2019-10-29 12:31:00",270,2539.042,13.14407,0,10.16,83.3,12,19.96
"2019-10-29 12:32:00",271,12349.85,12.92067,0,10.1,83.3,11.98,19.99
"2019-10-29 12:33:00",272,8269.504,12.67417,0,10.06,83.3,11.99,20.02
"2019-10-29 12:34:00",273,6380.498,12.38467,0,9.98,83.3,11.98,20.04
"2019-10-29 12:35:00",274,1135.812,13.08017,0,10.28,83.3,11.97,20.07
"2019-10-29 12:36:00",275,1915.455,13.47897,0,10.25,83.3,11.97,20.08
"2019-10-29 12:37:00",276,468.1953,12.93423,0.7765,10.35,83.3,12.01,20.1
"2019-10-29 12:38:00",277,4261.99,13.10997,0,10.26,83.3,11.98,20.12
"2019-10-29 12:39:00",278,3406.914,13.31497,0.7765,10.27,83.3,12,20.14
"2019-10-29 12:40:00",279,371.0208,13.6972,0.7765,10.21,83.3,11.98,20.15
"2019-10-29 12:41:00",280,1107.995,12.7102,0,9.59,83.3,11.96,20.17
"2019-10-29 12:42:00",281,664.5771,12.93187,8.541566,12.26,83.3,11.97,20.19
"2019-10-29 12:43:00",282,1706.442,12.41607,34.943,13,83.3,11.96,20.2
"2019-10-29 12:44:00",283,3360.8,10.8846,21.7421,13.21,83.3,11.88,20.21
"2019-10-29 12:45:00",284,2347.837,"NAN","NAN",13.15,83.3,11.87,20.21
"2019-10-30 12:22:00",285,-723.7471,0,0,7.52,81,13,11.96
"2019-10-30 12:23:00",286,-722.8638,"NAN","NAN",7.515,82.5,12.52,11.93
"2019-10-30 12:24:00",287,-723.5754,"NAN","NAN",7.552,83.1,12.44,11.9
"2019-10-30 12:25:00",288,-383.2359,"NAN","NAN",7.985,83.3,12.41,11.87
"2019-10-30 12:26:00",289,-357.4586,1.614667,0,7.622,83.3,12.41,11.85
"2019-10-30 12:27:00",290,-360.2123,2.268867,0.7765,7.837,83.4,12.4,11.83
"2019-10-30 12:28:00",291,-351.3985,2.271966,0.7765,7.558,83.4,12.41,11.81
"2019-10-30 12:29:00",292,-354.8145,2.270566,0,7.632,83.4,12.41,11.8
"2019-10-30 12:30:00",293,-351.2332,2.2662,0,7.636,83.4,12.41,11.79
"2019-10-30 12:31:00",294,-348.4791,2.202266,0.7765,7.655,83.4,12.41,11.79
"2019-10-30 12:32:00",295,-351.673,2.229,0,7.684,83.4,12.41,11.78
"2019-10-31 10:05:00",395,2253.81,1.508733,13.97713,11.67,83.4,12.42,11.89
"2019-10-31 10:06:00",396,4514.737,1.610767,22.51877,11.44,83.4,12.4,11.95
