"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","slowdata"
"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"TS","RN","p/cm3","ug/m^3","ug/m^3","degC","kPa","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2019-10-30 13:34:00",297,-347.625,2.211154,0,7.682,83.4,12.41,11.76
"2019-10-30 13:35:00",298,-346.3843,8.007967,0,7.496,83.4,12.41,11.76
"2019-10-30 13:36:00",299,-380.6418,20.7449,0.7765,7.65,83.4,12.46,11.74
"2019-10-30 13:37:00",300,-375.5736,22.37753,0,7.702,83.4,12.41,11.73
"2019-10-30 13:38:00",301,-385.9296,24.79203,0.7765,7.892,83.4,12.48,11.73
"2019-10-30 13:39:00",302,2980.043,25.0893,0.7765,7.73,83.4,12.42,11.73
"2019-10-30 13:40:00",303,3982.18,25.74216,0,7.907,83.4,12.43,11.73
"2019-10-30 13:41:00",304,4250.636,22.96757,6.212,8.13,83.4,12.43,11.74
"2019-10-30 13:42:00",305,4258.565,22.76893,0.7765,7.734,83.4,12.42,11.76
"2019-10-30 13:43:00",306,2978.977,22.9863,0,7.648,83.4,12.45,11.79
"2019-10-30 13:44:00",307,2081.769,22.56613,1.553,8,83.4,12.29,11.81
"2019-10-30 13:45:00",308,4623.772,21.90207,0,7.749,83.4,12.19,11.84
"2019-10-30 13:46:00",309,1878.091,22.38737,0,7.397,83.4,12.09,11.87
"2019-10-30 13:47:00",310,437.6446,22.78296,0,7.397,83.4,12.38,11.92
"2019-10-30 13:48:00",311,3213.711,22.31833,0,7.5,83.4,12.46,11.96
"2019-10-30 13:49:00",312,2041.666,22.56723,0.7765,7.648,83.4,12.45,12.02
"2019-10-30 13:50:00",313,5664.044,23.1227,0,7.595,83.4,12.45,12.08
"2019-10-30 13:51:00",314,10534.39,24.38497,0.7765,8.01,83.4,12.46,12.14
"2019-10-30 13:52:00",315,9420.714,24.08503,0.7765,8.58,83.4,12.44,12.2
"2019-10-30 13:53:00",316,"NAN",23.7199,0,8.22,86.1,12.45,12.27
"2019-10-30 13:54:00",317,"NAN",23.75563,0.7765,8.12,87.5,12.46,12.34
"2019-10-30 13:55:00",318,7811.499,23.19343,1.553,8.29,84.7,12.44,12.4
"2019-10-30 13:56:00",319,8565.509,23.65073,0,8.38,83.8,12.45,12.48
"2019-10-30 13:57:00",320,"NAN",23.49737,2.3295,8.43,"NAN","NAN",12.55
"2019-10-30 13:58:00",321,14870.51,23.2436,0,8.1,89.1,12.45,12.63
"2019-10-30 13:59:00",322,8087.654,23.09146,0.7765,8.15,85.1,12.46,12.71
"2019-10-30 14:00:00",323,14780.41,23.72303,0,8.58,83.9,12.42,12.78
"2019-10-30 14:01:00",324,2093.763,24.13847,0.7765,8.37,83.5,12.41,12.86
"2019-10-30 14:02:00",325,6371.476,22.81853,0,8.23,83.4,12.42,12.95
"2019-10-30 14:03:00",326,10143.86,23.15043,1.553033,8.17,83.4,12.37,13.03
"2019-10-30 14:04:00",327,8799.385,23.2578,1.553,8.57,83.4,12.41,13.12
"2019-10-30 14:05:00",328,9741.908,22.11737,0,8.02,83.4,12.38,13.2
"2019-10-30 14:06:00",329,7335.773,22.8218,0.7765,8.2,83.4,12.41,13.29
"2019-10-30 14:07:00",330,4250.038,23.7038,2.3295,8.54,83.4,12.44,13.37
"2019-10-30 14:08:00",331,4810.731,24.10707,0.7765,8.2,83.4,12.4,13.45
"2019-10-30 14:09:00",332,"NAN",24.49263,0.7765,8.43,83.4,12.42,13.54
"2019-10-30 14:10:00",333,13866.86,25.19173,0,8.32,83.4,12.42,13.62
"2019-10-30 14:11:00",334,7912.4,24.98443,0,8.22,83.4,12.43,13.71
"2019-10-30 14:12:00",335,12152.73,24.97783,0,8.82,83.4,12.45,13.79
"2019-10-30 14:13:00",336,10573.95,24.9751,0,8.38,83.4,12.41,13.87
"2019-10-30 14:14:00",337,4705.514,24.9289,0,8.31,83.4,12.41,13.92
"2019-10-30 14:15:00",338,4582.273,25.14577,0,8.28,83.4,12.39,13.93
"2019-10-30 14:16:00",339,3882.562,25.36947,0.7765,8.4,83.4,12.4,13.94
"2019-10-30 14:17:00",340,3250.377,24.72353,0,8.15,83.4,12.38,13.93
"2019-10-30 14:18:00",341,9090.155,25.43727,2.3295,8.38,83.4,12.43,13.92
"2019-10-30 14:19:00",342,4352.545,24.22183,0,8.28,83.4,12.42,13.92
"2019-10-30 14:20:00",343,3227.522,24.12857,0.7765,7.853,83.4,12.41,13.93
"2019-10-30 14:21:00",344,4994.176,24.47003,0,8.64,83.4,12.41,13.96
"2019-10-30 14:22:00",345,62.45171,23.9516,0.7765,8.23,83.4,12.42,13.99
"2019-10-30 14:23:00",346,4582.17,24.2614,0.7765,8.17,83.4,12.34,14.03
"2019-10-30 14:24:00",347,5505.425,24.0214,0,8.38,83.4,12.11,14.08
"2019-10-30 14:25:00",348,13886.8,23.78837,0.7765,8.95,83.4,12.21,14.13
"2019-10-30 14:26:00",349,4095.882,24.59367,0.7765,8.57,83.4,12.43,14.18
"2019-10-30 14:27:00",350,8912.537,25.32943,0.7765,9.08,83.4,12.45,14.23
"2019-10-30 14:28:00",351,"NAN",24.68313,0.7765,8.77,"NAN","NAN",14.29
"2019-10-30 14:29:00",352,10814.75,23.7427,0,8.55,85.7,12.42,14.35
"2019-10-30 14:30:00",353,5024.898,24.0821,0,8.34,84.1,12.39,14.42
"2019-10-30 14:31:00",354,955.7137,24.78623,0,8.33,83.6,12.43,14.49
"2019-10-30 14:32:00",355,236.6969,24.42303,2.3295,8.5,83.4,12.42,14.55
"2019-10-30 14:33:00",356,880.0936,24.4809,1.553,8.4,83.4,12.41,14.61
"2019-10-30 14:34:00",357,3642.795,24.70407,0.7765,8.48,83.4,12.42,14.68
"2019-10-30 14:35:00",358,3507.512,24.33837,0.7765,8.41,83.4,12.43,14.73
"2019-10-30 14:36:00",359,2635.618,24.90923,1.553,8.57,83.4,12.44,14.79
"2019-10-30 14:37:00",360,5741.934,25.0909,1.553,8.38,83.3,12.43,14.84
"2019-10-30 14:38:00",361,6967.546,24.9552,3.106,8.49,83.4,12.42,14.9
"2019-10-30 14:39:00",362,7132.345,25.17773,0,8.56,83.3,12.43,14.95
"2019-10-30 14:40:00",363,6356.296,25.75307,3.106,8.42,83.4,12.43,14.99
"2019-10-30 14:41:00",364,4563.947,26.34607,0,8.75,83.3,12.4,15.04
"2019-10-30 14:42:00",365,3753.972,25.7644,0.7765,8.13,83.4,12.39,15.09
"2019-10-30 14:43:00",366,4287.465,25.5543,0,8.35,83.4,12.35,15.13
"2019-10-30 14:44:00",367,9313.166,25.16137,0.7765,8.45,83.4,12.36,15.17
"2019-10-30 14:45:00",368,3976.558,25.4601,0.7765,8.78,83.4,12.37,15.2
"2019-10-30 14:46:00",369,4019.547,26.09487,0,8.57,83.3,12.38,15.24
"2019-10-30 14:47:00",370,7402.415,26.60123,0.7765,8.48,83.3,12.35,15.28
"2019-10-30 14:48:00",371,10407.03,25.5246,3.106,8.58,83.4,12.35,15.32
"2019-10-30 14:49:00",372,11781.69,25.6373,0,8.23,83.3,12.35,15.36
"2019-10-30 14:50:00",373,8550.298,25.4297,1.553,7.831,83.3,12.33,15.4
"2019-10-30 14:51:00",374,2499.093,23.8635,2.329533,8.14,83.3,12.37,15.44
"2019-10-30 14:52:00",375,3371.286,23.2493,0,8.14,83.3,12.33,15.48
"2019-10-30 14:53:00",376,3213.119,22.48187,6.212067,10.82,83.3,12.34,15.51
"2019-10-30 14:54:00",377,2167.392,23.3898,20.96567,11.49,83.3,12.35,15.56
"2019-10-30 14:55:00",378,1564.851,28.19503,3.882533,12.06,83.3,12.35,15.6
"2019-10-31 10:49:00",379,-705.5942,0,0,11.32,82.1,12.87,11.51
"2019-10-31 10:50:00",380,-567.2819,"NAN","NAN",11.15,82.9,12.5,11.51
"2019-10-31 10:51:00",381,-347.3396,0,0,10.6,83.2,12.45,11.5
"2019-10-31 10:52:00",382,-353.8924,1.5731,5.4355,10.87,83.3,12.41,11.5
"2019-10-31 10:53:00",383,-341.6645,1.4661,3.106,11.09,83.4,12.4,11.5
"2019-10-31 10:54:00",384,-346.6202,1.322,0,11.15,83.4,12.41,11.51
"2019-10-31 09:55:00",385,-350.3785,1.322,0,11.13,83.4,12.41,11.51
"2019-10-31 09:56:00",386,-349.4289,1.322,0,11.47,83.4,12.36,11.52
"2019-10-31 09:57:00",387,-352.3473,1.322,0,11.53,83.4,12.39,11.54
"2019-10-31 09:58:00",388,-341.3301,1.322,0,11.53,83.4,12.4,11.56
"2019-10-31 09:59:00",389,-347.0016,1.322,0,11.6,83.4,12.4,11.58
"2019-10-31 10:00:00",390,-343.3664,1.233867,0,11.69,83.4,12.41,11.61
"2019-10-31 10:01:00",391,-347.0002,1.459933,10.09453,11.67,83.4,12.4,11.64
"2019-10-31 10:02:00",392,-337.3613,1.527267,7.765,12.1,83.4,12.44,11.7
"2019-10-31 10:03:00",393,-359.2793,1.536933,11.6476,11.81,83.4,12.43,11.76
"2019-10-31 10:04:00",394,-386.2106,1.523567,13.97717,11.8,83.4,12.45,11.83
"2019-10-31 10:05:00",395,2253.81,1.508733,13.97713,11.67,83.4,12.42,11.89
"2019-10-31 10:06:00",396,4514.737,1.610767,22.51877,11.44,83.4,12.4,11.95
